classification_id,classification,description,minimum_evidence,promotion_rule,example
CC001,FIELD_ADDED,A JSON field appears that was not previously recorded for an endpoint/security type.,E3 or E4,Add master field row or mark as candidate field if limited to one symbol.,New quoteResponse.result field appears for ETFs.
CC002,FIELD_REMOVED_OR_MISSING,A previously observed field no longer appears where expected.,E4 preferred,Mark as absent/suspected removed only after retesting representative symbols.,regularMarketVolume disappears for a security type.
CC003,FIELD_TYPE_CHANGED,"Field value type changes, such as integer to string or object to null.",E3,Record old/new observed types and affected symbols/security types.,numeric field starts returning string values.
CC004,JSON_PATH_CHANGED,Field remains present but moves to a different parent path or object.,E4,Add new JSON path and deprecate or annotate old path.,A quoteSummary module moves nested fields.
CC005,ENUM_VALUE_ADDED,A new controlled value appears for a known enumeration.,"E2 for low-risk, E3 preferred",Add enum value with first observed evidence and affected endpoint.,New marketState value observed.
CC006,SYMBOL_COVERAGE_CHANGE,"A requested symbol stops appearing, starts appearing, or changes security type classification.",E3,"Record requested_symbols, returned_symbols, and missing_requested_symbols.",AAPL requested but missing from batch quote response.
CC007,ENDPOINT_AVAILABILITY_CHANGE,"An endpoint starts returning empty, null, HTTP error, or changed auth/rate-limit behavior.",E4,Distinguish temporary issue from stable endpoint behavior before confirmation.,search endpoint consistently returns empty results for common symbols.
CC008,SCHEMA_DRIFT,Object shape changes while endpoint remains available.,E3,"Document changed parent objects, added/removed fields, and security-type scope.",chart result meta changes fields.
CC009,DATA_STALENESS_OR_TIMING,"Data appears stale, delayed, or applicable to a different date than the displayed timestamp implies.",E3,"Record market state, timestamp, quote source, and security type.",Mutual fund NAV updates after regular equity close.
CC010,APP_OR_TOOL_BEHAVIOR,"The behavior appears caused by a wrapper, app, parser, UI, or user workflow rather than raw Yahoo API output.",E2,Keep as app-behavior finding; do not promote to Yahoo API change unless raw endpoint evidence confirms it.,Full URL entered into a symbol lookup box is treated as a ticker symbol.
CC011,NO_CHANGE_FALSE_POSITIVE,Review shows the observation was expected behavior or insufficiently supported.,E1 or E2,Reject or close with explanation.,Screener URL tested through a symbol-only lookup feature.
