result_state,when_to_use,user_visible_evidence,not_evidence_of,recommended_next_test,project_action
SUCCESS,Requested user-visible symbols were returned with expected data fields.,Returned symbols match requested symbols; no visible error.,Does not prove all fields are complete or current.,Run representative batch and compare key fields.,Record as normal capture.
PARTIAL_SYMBOL_RESULT,Some requested symbols returned and some did not.,Returned symbol count is lower than requested count.,Not automatically a Yahoo outage or invalid symbol.,Retest missing symbols one at a time.,Keep missing symbols list.
REQUESTED_SYMBOL_MISSING_FROM_RESULT,A requested symbol is absent from the app export/result list.,AAPL requested but result begins with MSFT or omits AAPL.,Does not prove AAPL is invalid.,"Run AAPL alone, then AAPL+MSFT, then full batch.","Track requested_symbols, returned_symbols, and missing_requested_symbols."
EMPTY_RESULT,App returns an empty result list for a supported symbol input.,No rows returned; no raw JSON visible.,Not enough to identify Yahoo vs app parser cause.,Retest with MSFT as control; check if any error text is visible.,Classify with low/medium confidence unless raw status/body visible.
NULL_RESULT,App displays null or no object where data was expected.,"Null body, blank output, or quoteSummary result null.",Not automatically symbol invalidity.,Record exact visible text and whether fundamentals lookup was involved.,Mark as ambiguous without raw endpoint response.
FULL_URL_AS_SYMBOL,A full Yahoo URL appears inside a quote/fundamentals 'symbol not found' message.,Error says quote not found for symbol: HTTPS://QUERY1...,Not evidence the Search/Chart/Screener endpoint failed.,Do not use URL inputs in symbol lookup unless app docs say URLs are supported.,Record as app compatibility finding.
URL_NOT_SUPPORTED_BY_APP,The app symbol lookup field appears unable to process raw URLs.,URL input yields invalid symbol behavior or empty result.,Not evidence the Yahoo endpoint URL is invalid.,Ask vendor whether direct URL mode exists; otherwise test symbols only.,Move URL endpoints to documentation-only or direct-browser tests.
APP_ACCEPTS_SYMBOLS_ONLY,Observed behavior indicates the feature is for ticker symbols or symbol lists.,Normal symbols work; full URLs are treated as symbols.,Does not limit Yahoo API capabilities.,Use only symbol and symbol-list tests in the app.,Frame all app results as black-box symbol lookup results.
APP_BLACK_BOX_LIMITATION,"The app hides raw HTTP status, URL, or JSON response.",Only summarized/exported output available.,Cannot prove exact API request or parser internals.,"Capture app version, input, output, and export file.",Use lower confidence unless independently verified.
HTTP_ERROR_429,Direct HTTP testing shows Too Many Requests.,HTTP status 429 visible from direct test.,Not visible unless app exposes status or direct test is run.,Retry later with lower frequency and user-agent/browser context.,Keep separate from symbol validity.
PARSER_ENDPOINT_MISMATCH,An endpoint appears to be parsed by the wrong routine.,Search/Chart URL is reported by quote/fundamentals lookup.,Not necessarily modifiable by the user.,Treat as app behavior unless source code access exists.,Use only as diagnostic classification.
SCHEMA_DRIFT,Fields exist but shape/path/type differs from earlier capture.,Raw response visible and differs from documented schema.,Not the same as empty or null result.,Capture raw JSON and compare field paths.,Update master field database only with evidence.
SPECIAL_SYMBOLS_NOT_RETURNED,"Symbols with =, ^, or - are missing from a batch while simple symbols return.","ZT=F, ^GSPC, EURUSD=X requested but absent.",Not proof the symbols are invalid; may be encoding/app limitation.,Run raw and URL-encoded variants if app allows; otherwise test singly.,Track encoding_state and missing symbols.
NOT_TESTABLE_THROUGH_APP_UI,A Yahoo endpoint cannot be meaningfully tested through the symbol lookup box.,Search/Screener/Chart URL entered into symbol field.,Not evidence Yahoo endpoint failed.,Use browser/direct HTTP outside the app or omit endpoint test.,Keep project documentation clear about access limits.
